근무 지역,학력,기업 규모,회사명,공고 제목,접수 마감일,담당업무,근무 일시,채용인원,공고 사이트 주소,회사 홈페이지,회사 주소,대표자명,설립일(연차),사원 수,매출액,업종,사업 내용
경기도 안양,학력 무관,중소기업,나이콤,S/W 개발자(.NET/C/C#/C++/Java) 인재모집,2024.01.26(금),도서관 솔루션 개발/신제품 개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43728623?rPageCode=SL&logpath=21,http://www.enicom.co.kr/,경기 안양시 동안구 시민대로109번길 11,김대영,2001년 08월 21일(24년차),86명,160억,컴퓨터·하드웨어·장비,도서관리시스템 개발 / 제조/ 판매
경기도 안양,학력 무관,중소기업,네오셈,HW/SW 개발 경력직 채용,2024.01.26(금),S/W 개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43593043?rPageCode=SL&logpath=21,http://www.huvio.co.kr/,경기 안양시 동안구 관양동 시민대로 327번길 12-26,염동현,2002년 04월 04일(23년차),114명,731억,그 외 기타 특수목적용 기계 제조업,특수목적용 기계 제조
서울 금천구,학력 무관,중소기업,넷맨,연구소 신입/경력 상시 채용,상시 채용,응용프로그램 개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43723773?rPageCode=SL&logpath=21,http://www.netman.co.kr/,서울 금천구 가산디지털1로 168,서승호,2001년 09월 01일(24년차),29명,미공개,정보보안,"네트워크 관리시스템 소프트웨어 개발 (NAC, IPAM)"
서울 성동구,학력 무관,중소기업,노르마,암호모듈 개발자(신입 및 경력자),상시 채용,암호모듈 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=46190629&view_type=list,https://norma.co.kr/,서울 성동구 아차산로15길 52,주영철,2011년 10월 10일(14년차),54명,68억,응용 소프트웨어 개발 및 공급업,양자 컴퓨팅 환경에서도 안전한 ‘양자내성암호(PQC)’를 적용한 IoT 보안 솔루션과 서비스
서울 서초구,대졸 이상,코스닥 상장 기업,누리플렉스,2024년 누리플렉스 Application 개발자/신규사업 기획자 채용,2024.02.05(월),AMI 애플리케이션 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47333119&view_type=list,http://www.nuriflex.co.kr/,서울 서초구 사평대로 16,김영덕,1994년 04월 18일(31년차),86명,"1,247억",시스템 소프트웨어 개발 및 공급업,"유틸리티, 제조, 에너지, 공공 분야에 적합한 최적의 IoT 솔루션 공급"
서울 영등포구,초대졸 이상,중소기업,뉴젠솔루션,윈도우/웹 응용프로그램 개발 및 유지보수 - 신입/경력,2024.02.09(토),기업 운영 관리 솔루션/서비스 개발,주 5일,3명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47149602&view_type=list,https://newzensolution.co.kr/,서울 영등포구 경인로 775,장선수,2010년 11월 29일(15년차),75명,116억,응용 소프트웨어 개발 및 공급업,경영정보화 솔루션 개발 및 구축 전문
서울 송파구,초대졸 이상,중소기업,드림디엔에스,S/W개발 경력자 채용,2024.01.31(수),보안 S/W 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47231575&view_type=list,https://www.dreamdns.co.kr/,서울 송파구 송파대로 111,박기준,2019년 01월 03일(6년차),32명,50억,주변기기 제조업,보안 솔루션 보안 시스템 보안 전산장비 개발
서울 성동구,대졸 이상,코스닥 상장 기업,드림시큐리티,보안기술 연구소 암호기술연구 개발자(C/C++) 채용,2024.01.20(토),암호기술연구 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47218654&view_type=list,https://www.dreamsecurity.com/,서울 성동구 아차산로 126,범진규/문진일,2014년 06월 25일(11년차),220명,302억,시스템 소프트웨어 개발 및 공급업,PKI기반의 보안 · 인증솔루션 및 서비스를 제공하는 IT 인증보안 전문기업
서울 강서구,대졸 이상,중소기업,디에이치로지스틱스,진짜 개발을 배우자 [디에이치로지스틱스] 개발자 모집,2024.02.08(목),자사 솔루션 기반 서비스 개발 및 운영,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47331577&view_type=list,https://www.dhlogistics.co.kr/,서울 강서구 마곡중앙로 171,원동희,2014년 09월 04일(11년차),24명,26억,시스템 소프트웨어 개발 및 공급업,유통 및 물류 업무에 맞는 최고의 플랫폼 서비스를 제공
서울 마포구,학력 무관,중소기업,디지털존,디지털존 전자증명1팀 CS프로그램 개발자 채용,채용 시 마감,CS 프로그램 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47358066&view_type=list,http://www.digitalzone.co.kr/,서울 마포구 월드컵북로 396,전정우,1999년 02월 11일(26년차),66명,118억,전자부품 제조업,"대학/병원/공공기관 증명발급 시스템 구축 및 운영, 블록체인/클라우드/인공지능 등 ICT 사업"
경기도 군포,초대졸 이상,중소기업,라온시스템즈,SW 개발자 채용 [C# / .NET / WPF / C++ / MFC],2024.02.20(화),WPF(C#/NET)/MFC(C++)를 통한 UI/UX개발 및 시스템 구축/Oracle/MS.Sql등의 DB 활용SW 유지보수,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47231931&view_type=list,www.laonsys.co.kr,경기 군포시 고산로 148번길 17,김태호,2012년 01월 02일(13년차),30명,미공개,기타 무선 통신장비 제조업,"전자통신제품, 유무선통신장치 제조/정보통신공사/ 시스템통합 등"
서울 강서구,학력 무관,중소기업,로이드테크,Oracle H/W|Appliance 기술지원 필드엔지니어 신입채용,2024.03.10(일),Oracle H/W|Appliance 기술지원 필드엔지니어,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47345380&view_type=search,http://www.loittech.co.kr/,서울 강서구 공항대로 186,김대석,2017년 09월 15일(8년차),42명,미공개,컴퓨터시스템 통합 자문 및 구축 서비스업,오라클 스토리지 어플라이언스 제품 기술지원
